Month,Year,AQI
January,2024,28.26666667
February,2024,34.11764706
March,2024,37.51724138
April,2024,46.43333333
May,2024,38.16129032
June,2024,38.33333333
July,2024,45.36666667
August,2024,46.06451613
September,2024,40.31034483
October,2024,46
November,2024,33.76666667
December,2024,25.56666667
January,2020,29.06451613
February,2020,37.77777778
March,2020,36.61538462
April,2020,42.76666667
May,2020,47.13333333
June,2020,41.75862069
July,2020,44
August,2020,40.63333333
September,2020,30
October,2020,45.68181818
November,2020,32
December,2020,40
